batch,3lanahdw - Epoch-avg,1ife0qil - Epoch-avg,tfvtshog - Epoch-avg,433ue2xx - Epoch-avg,e0dedoks - Epoch-avg,2lfb1f90 - Epoch-avg,mdpd09s2 - Epoch-avg,3f1szh6n - Epoch-avg,2o0lr4zq - Epoch-avg,73as3he7 - Epoch-avg,3sjxadky - Epoch-avg,1ygq8soq - Epoch-avg,3gz7izya - Epoch-avg,1u3xq86f - Epoch-avg,9pdaam52 - Epoch-avg,1eu9086i - Epoch-avg,38qfqzgl - Epoch-avg,gisbw50a - Epoch-avg,1ueeneqe - Epoch-avg,2vzwcwtv - Epoch-avg,3olusoh7 - Epoch-avg,hcvf3a5h - Epoch-avg,l0xvi90b - Epoch-avg,2pzhu18n - Epoch-avg
58,-848.4710923,-745.5546339,-1513.523284,-610.7851589,-300.1336035,-242.5629286,-739.9396777,-1015.278499,-68.75360903,-957.8981343,-495.9406672,-941.761156,-101.4052912,-637.7614249,-1147.147489,-489.3639625,-1073.716854,-733.0248572,-1172.569137,-377.7950806,-810.4695401,-374.5103337,-778.1241294,-752.9815913
59,-883.6687586,-833.3975204,-1491.932619,-781.4774036,-181.9383249,-545.9382686,-804.9521015,-955.6238127,-133.5363431,-643.640189,-928.2174553,-1399.423507,-985.1709949,-956.2159779,-1096.38919,-266.3007206,-916.7228729,-427.5782539,-1026.313874,-793.7021348,-1045.289958,-580.0862704,-656.605187,-1413.72581
60,-657.4102263,-902.4680657,-1459.365093,-810.4256602,-198.2984504,-337.4611629,-500.9495609,-387.9898241,-484.2276866,-503.7358057,-298.6019781,-852.4349903,-604.0780951,-953.6873299,-1146.764055,-246.5417998,-519.715545,-1013.493949,-744.576899,-368.6638995,-948.2051934,-1101.810989,-194.3991275,-1385.406182
61,-667.700816,-824.1672341,-1479.691334,-830.8358988,-202.6792767,-600.8769736,-848.4510736,-536.5263271,-501.6585808,-552.9837722,-196.8922684,-1017.881316,-635.3600782,-300.0152831,-697.3849677,-459.7582352,-984.0381649,-878.7115628,-741.605221,-1067.573975,-489.5405384,-1259.511315,-975.6084941,-1435.739725
62,-652.0084212,-828.1271793,-1546.636684,-725.5019445,-374.2942393,-318.2726374,-196.7810903,-880.3924351,-335.9723352,-556.5730747,-461.8382659,-711.1241047,-672.0123826,-397.7282861,-1332.382371,-403.8154878,-1131.627799,-696.2633925,-367.3366255,-597.8970342,-802.0406034,-1112.864552,-330.8442218,-1484.882305
63,-293.9462338,-1122.559013,-1466.294872,-705.550702,-367.2036408,-708.6361636,-298.7858795,-630.5873839,-285.0420661,-517.969659,-1018.360173,-838.4278901,-766.0772288,-393.6208683,-1327.246316,-235.5541515,-1148.286401,-1141.28049,-374.4951614,-640.5494471,-787.8731509,-1203.870173,-820.5697346,-1310.77988
64,-254.2822939,-601.8741072,-1409.492122,-582.4634808,-400.9855766,-948.6509728,-335.3615643,-776.0383482,-467.8008352,-1029.580017,-709.1352406,-924.7808515,-902.7684272,-168.5934585,-1366.237218,-618.5061788,-324.6140561,-899.441479,-1077.679467,-941.5042848,-714.7622439,-413.3836835,-360.7555903,-1389.165842
65,-285.388754,-598.457477,-1531.263636,-689.5918532,-236.6356005,-1048.611395,-469.6221982,-699.2383791,-503.5296634,-707.6458761,-341.5499895,-718.7172593,-768.9861819,-593.4902145,-1213.855598,-366.9751597,-486.4879342,-782.6854018,-863.087779,-786.3832931,-615.3001509,-928.0907556,-292.3720586,-1342.568054
66,-261.2623021,-652.6290096,-1458.978866,-853.8883293,-525.6940218,-893.0742254,-525.3495606,-778.4092743,-102.1221041,-554.2068417,-384.8984233,-598.9802818,-280.2251699,-378.8720843,-737.6025593,-162.7628434,-467.5581152,-975.9357955,-888.5694129,-932.5378691,-736.7740702,-822.4048304,-414.5441393,-1463.461686
67,-350.5119741,-615.0802585,-1525.91329,-1024.019325,-682.2960839,-972.2452955,-279.9071617,-916.8745964,-781.9387351,-882.3252657,-792.3348959,-711.503325,-272.0005173,-702.7759697,-1040.786736,-394.0466488,-323.5745209,-491.9048684,-641.485848,-754.5744548,-828.7458102,-916.3545274,-261.887709,-515.0732687
68,-688.8232555,-477.5949272,-1483.434387,-736.474109,-917.6104141,-717.5518002,-387.095906,-663.2103599,-807.5396711,-828.854716,-366.1500333,-519.7066641,-200.6303539,-388.5429743,-1434.305751,-286.9618715,-687.635757,-453.3258597,-701.3676023,-840.3363124,-981.2927177,-850.1687605,-295.1665131,-790.3390706
69,-319.3818308,-1071.211628,-1503.827658,-1001.715982,-753.1775164,-671.3396192,-270.5568833,-480.8966392,-1039.846272,-415.8679045,-636.5188851,-445.0863755,-622.0553858,-476.1948586,-1352.533318,-343.5042866,-470.768571,-933.4475757,-708.9081262,-775.503098,-985.3818441,-1140.655966,-378.6667767,-1393.946091
70,-257.7504661,-1205.338747,-1321.058205,-1067.171423,-281.0910561,-229.9989669,-127.9772702,-810.9310722,-983.3010256,-413.6648511,-313.6070119,-564.7071172,-333.5529894,-811.304032,-1171.707329,-237.8629948,-595.3598383,-965.8223875,-957.3152077,-710.3333304,-863.3229588,-886.0705076,-223.5025352,-1575.5145
